%roll pitch yaw
0.00272797 -0.00700661 -0.0830106
0.00258233 -0.00720421 -0.0827862
0.00244302 -0.00746111 -0.0825534
0.00234691 -0.00771206 -0.0823269
0.0023341 -0.00797835 -0.0821188
0.0024204 -0.00826395 -0.0819494
0.00267971 -0.00857519 -0.081833
0.00310026 -0.00885608 -0.0817725
0.00373401 -0.0090038 -0.0817471
0.0043389 -0.00912518 -0.0817469
0.00519471 -0.00908113 -0.0817902
0.00648306 -0.00879496 -0.0818805
0.00799515 -0.00840684 -0.0820058
0.00966706 -0.00792284 -0.0821601
0.0114957 -0.00742762 -0.0823347
0.0134113 -0.00694925 -0.0825429
0.0153619 -0.00651644 -0.0828111
0.0173099 -0.00614041 -0.0831313
0.0192216 -0.00579805 -0.0834762
0.0211035 -0.00547629 -0.0838285
0.0229137 -0.00516406 -0.0841494
0.0246426 -0.00484929 -0.0844212
0.0262878 -0.00453909 -0.0846356
0.0278561 -0.00420477 -0.084792
0.0293338 -0.00393199 -0.0848936
0.0306708 -0.00372102 -0.0849431
0.0318318 -0.00357898 -0.08494
0.0327716 -0.00350889 -0.0848541
0.0334805 -0.00350626 -0.0847047
0.033923 -0.00357476 -0.0845045
0.0340891 -0.0037 -0.0842268
0.0339994 -0.00385802 -0.0838805
0.033668 -0.00401857 -0.0834925
0.0331365 -0.00421044 -0.0830673
0.0324029 -0.00443556 -0.0826248
0.0315499 -0.00467625 -0.0821919
0.0305011 -0.0048995 -0.0817804
0.0294609 -0.00508716 -0.081425
0.0285236 -0.00526485 -0.0811204
0.0276554 -0.00537584 -0.0808566
0.0268642 -0.00545595 -0.0806195
0.0261825 -0.00547552 -0.0804132
0.0255616 -0.00545488 -0.0802581
0.0250004 -0.00540623 -0.0801579
0.024435 -0.00533786 -0.0801351
0.023853 -0.00524897 -0.0801815
0.023234 -0.00515231 -0.0803017
0.0225714 -0.00506125 -0.0804952
0.021906 -0.00498355 -0.0807772
0.0212486 -0.00493417 -0.0811351
0.0206686 -0.00489328 -0.0815187
0.0201726 -0.00487218 -0.0819248
0.01976 -0.00486935 -0.0823341
0.0194044 -0.00487636 -0.0827501
0.0191257 -0.00489555 -0.0831534
0.0188937 -0.00489798 -0.0835584
0.0186912 -0.00488724 -0.0839561
0.018469 -0.00486691 -0.0843413
0.0182296 -0.00483158 -0.0847416
0.0179405 -0.00479527 -0.0851496
0.0176423 -0.00477709 -0.0855307
0.0172964 -0.00479423 -0.0859185
0.0169998 -0.00486614 -0.0863045
0.016736 -0.00498875 -0.0866678
0.0165718 -0.00517248 -0.0869922
0.016478 -0.00539767 -0.0872911
0.0164455 -0.00565132 -0.0875519
0.0164381 -0.00593008 -0.0877505
0.0164735 -0.00624197 -0.0879004
0.0165141 -0.00659831 -0.0879801
0.0165827 -0.00698548 -0.0879907
0.0166461 -0.00737327 -0.0879631
0.0167483 -0.00774521 -0.0878709
0.0168469 -0.00812531 -0.0877291
0.0169853 -0.00850182 -0.0875267
0.0171327 -0.00887438 -0.0872322
0.0173257 -0.00924531 -0.0868416
0.0175176 -0.00959199 -0.0863802
0.0177304 -0.00991455 -0.0858352
0.0179402 -0.0101983 -0.0852367
0.0181733 -0.0104459 -0.0846013
0.0184321 -0.0106632 -0.0839436
0.0187065 -0.0108251 -0.0832722
0.0190564 -0.0109256 -0.0825892
0.0194285 -0.0109954 -0.0818962
0.0198617 -0.0110223 -0.08121
0.0203083 -0.0110072 -0.080514
0.0207937 -0.0109436 -0.0797944
0.0212515 -0.0108183 -0.0790969
0.0217075 -0.0106564 -0.0784405
0.0220873 -0.0104914 -0.0778486
0.0224736 -0.0103147 -0.0773118
0.0227988 -0.0101316 -0.0768316
0.0231313 -0.00992035 -0.0764106
0.0234109 -0.00968314 -0.0760489
0.0237055 -0.0094524 -0.0757468
0.0239698 -0.00927728 -0.0754848
0.0242291 -0.00913004 -0.0752845
0.0244778 -0.00899878 -0.075134
0.0247023 -0.00887885 -0.0750196
0.0248881 -0.00873816 -0.0749482
0.0250264 -0.00858051 -0.0749219
0.0251206 -0.00840675 -0.0749487
0.0251375 -0.00826805 -0.0750414
0.0251149 -0.00814622 -0.0751907
0.0250201 -0.00802153 -0.0753887
0.0249382 -0.00787067 -0.0756226
0.0248011 -0.00771975 -0.0759081
0.0247116 -0.00758034 -0.0762233
0.0246186 -0.00744704 -0.0765691
0.0246142 -0.00730261 -0.0769387
0.0246092 -0.00718945 -0.0773318
0.024682 -0.00711592 -0.0777332
0.0247841 -0.0070771 -0.0781496
0.0249357 -0.00706204 -0.0785493
0.0251094 -0.00704154 -0.0789469
0.0252768 -0.00701186 -0.0793607
0.0254968 -0.00696187 -0.0797745
0.0256892 -0.00689088 -0.0801876
0.0259293 -0.0067986 -0.0805857
0.0261575 -0.00667681 -0.0809512
0.0264337 -0.00654207 -0.0812812
0.0267038 -0.00642084 -0.0815816
0.0269948 -0.0063259 -0.0818147
0.0272757 -0.00625991 -0.0819943
0.0275458 -0.00621061 -0.0821323
0.0277735 -0.00618025 -0.0822355
0.0279667 -0.00616896 -0.0822777
0.0281381 -0.00616546 -0.0822728
0.0282743 -0.00615156 -0.0822118
0.0284003 -0.00614433 -0.0821172
0.0284636 -0.00615629 -0.0819542
0.0285154 -0.00618778 -0.0817692
0.0285254 -0.0062152 -0.0815516
0.028533 -0.00625378 -0.0813369
0.0284913 -0.00629466 -0.0811094
0.0284651 -0.00634517 -0.0808506
0.0284121 -0.00640268 -0.0805746
0.0283839 -0.00649764 -0.0802803
0.0283388 -0.00660261 -0.0799713
0.0282875 -0.0066923 -0.0796374
0.0282151 -0.00677379 -0.0792885
0.0281404 -0.00684456 -0.0789643
0.0280516 -0.00691458 -0.0786696
0.0279348 -0.00695412 -0.0784051
0.0277861 -0.00694516 -0.0781846
0.0275796 -0.00690648 -0.077997
0.0273631 -0.00687691 -0.0778305
0.0271374 -0.00685867 -0.0776947
0.0269143 -0.00683534 -0.0775969
0.0266977 -0.00677951 -0.077536
0.0265152 -0.00671427 -0.0775026
0.0263488 -0.00665846 -0.0775045
0.0262255 -0.00662184 -0.0775414
0.0260977 -0.00662101 -0.077608
0.0259811 -0.00661852 -0.0776906
0.0258403 -0.00660143 -0.0778054
0.0256988 -0.00658077 -0.0779647
0.0255003 -0.00658141 -0.0781763
0.0253219 -0.0066057 -0.0784407
0.0251402 -0.00662426 -0.0787519
0.0250278 -0.00662316 -0.0790962
0.0249721 -0.00657259 -0.0794781
0.0250658 -0.00654159 -0.0798572
0.0251675 -0.0065702 -0.0801932
0.0252722 -0.00665556 -0.0804786
0.0253 -0.00679116 -0.0807062
0.0252196 -0.00694896 -0.0808724
0.0249684 -0.00709563 -0.0809892
0.0244915 -0.00722495 -0.0810657
0.0239542 -0.007359 -0.0811231
0.0231705 -0.00740478 -0.0811835
0.0221113 -0.00738184 -0.0812473
0.0205988 -0.00726105 -0.0812775
0.0189252 -0.00711109 -0.0812843
0.0171366 -0.00693626 -0.081259
0.015299 -0.00676662 -0.0812028
0.0134364 -0.00662076 -0.0810839
0.0116458 -0.00650192 -0.0808804
0.00988946 -0.00641445 -0.0806419
0.00818763 -0.00637633 -0.0803701
0.00652244 -0.00637865 -0.0800792
0.00494148 -0.00637363 -0.079787
0.00350414 -0.00632045 -0.0795531
0.0021752 -0.00624151 -0.0793816
0.00070657 -0.00615869 -0.0792853
-0.000616621 -0.00607153 -0.0792621
-0.00183654 -0.0059833 -0.0793204
-0.00284781 -0.00589178 -0.0794401
-0.00366888 -0.00580165 -0.0796217
-0.0042392 -0.00569892 -0.0798495
-0.00458108 -0.005595 -0.0801145
-0.00465049 -0.00551221 -0.0803966
-0.00442018 -0.00544898 -0.080691
-0.00394196 -0.0054163 -0.0809952
