%roll pitch yaw
0.0241103 -0.00179787 -0.737369
0.02455 -0.00234829 -0.737511
0.0250028 -0.00297445 -0.737598
0.0255098 -0.00362821 -0.737636
0.0260571 -0.00423683 -0.737619
0.0266185 -0.00481393 -0.737542
0.027164 -0.0053932 -0.737397
0.0276466 -0.00598433 -0.737182
0.0280406 -0.00662217 -0.736903
0.0283261 -0.00730792 -0.736564
0.0284844 -0.00803261 -0.736186
0.0285386 -0.00881968 -0.735767
0.0285268 -0.00963245 -0.735338
0.0284497 -0.0104822 -0.734942
0.0283137 -0.0113207 -0.734554
0.0281365 -0.0121567 -0.734162
0.0279195 -0.0129495 -0.733747
0.0278239 -0.0138223 -0.733307
0.027532 -0.014605 -0.732843
0.0271966 -0.0153467 -0.732343
0.0268158 -0.0160646 -0.731785
0.0264159 -0.0167197 -0.731193
0.0260025 -0.0173335 -0.730585
0.0255896 -0.017929 -0.729958
0.0252259 -0.0184375 -0.729328
0.0248854 -0.0189078 -0.728686
0.0245624 -0.0193017 -0.728017
0.024283 -0.0195949 -0.727354
0.0240527 -0.0198077 -0.726689
0.0238629 -0.0199133 -0.726056
0.0237073 -0.0199069 -0.725457
0.0235962 -0.0198522 -0.724906
0.0235514 -0.0197298 -0.72443
0.0235666 -0.0196053 -0.724016
0.0236679 -0.0195043 -0.723679
0.0238269 -0.0193931 -0.723427
0.0240514 -0.0193077 -0.723244
0.0243612 -0.0192284 -0.723144
0.0247591 -0.0191148 -0.723138
0.0252187 -0.0190049 -0.723227
0.0257598 -0.0189169 -0.723387
0.0263648 -0.0188198 -0.723603
0.0270332 -0.018783 -0.723903
0.027736 -0.0188165 -0.724241
0.0284329 -0.0189107 -0.724617
0.029127 -0.0190894 -0.725025
0.0297684 -0.0192885 -0.725451
0.0303561 -0.0194726 -0.725916
0.0308622 -0.0197007 -0.726391
0.0312908 -0.0199619 -0.72689
0.0316454 -0.0202052 -0.727393
0.0319306 -0.0204654 -0.727871
0.0321556 -0.020704 -0.728325
0.0323255 -0.0209586 -0.728749
0.0324463 -0.0212536 -0.729177
0.0325223 -0.0215045 -0.729569
0.0325114 -0.021761 -0.729952
0.0324188 -0.0220192 -0.730332
0.0322567 -0.0222131 -0.730684
