%roll pitch yaw
0.00526589 0.0145522 -0.304069
0.0060244 0.0139751 -0.305188
0.00690334 0.0133637 -0.306337
0.00787861 0.0127493 -0.307486
0.00889618 0.0121178 -0.308633
0.00971136 0.0116576 -0.309761
0.0104857 0.0111224 -0.310844
0.0111778 0.0105135 -0.31188
0.0117715 0.00985639 -0.312862
0.0122345 0.00918643 -0.313791
0.012583 0.00853889 -0.314662
0.012814 0.00792183 -0.315478
0.0129578 0.00730183 -0.316225
0.0130632 0.00665574 -0.316921
0.0131608 0.00593395 -0.317564
0.0132516 0.00517162 -0.31813
0.01334 0.00436656 -0.318612
0.0134599 0.00353632 -0.319006
0.0135638 0.00269688 -0.319307
0.0135937 0.0018546 -0.319537
0.0135596 0.00102626 -0.319686
0.0134683 0.000198712 -0.31975
0.0133023 -0.000628085 -0.319729
0.0130396 -0.00144766 -0.319643
0.0126924 -0.00227082 -0.319484
0.0123089 -0.00307522 -0.319267
0.0119104 -0.00382246 -0.318969
0.0115327 -0.00448316 -0.318573
0.0112162 -0.00508717 -0.318091
0.010973 -0.00563064 -0.317518
0.010811 -0.00611981 -0.316865
0.0107451 -0.00654101 -0.316127
0.0107246 -0.00688468 -0.315328
0.0107223 -0.00717144 -0.314503
0.0107127 -0.00741367 -0.313657
0.0106287 -0.0076078 -0.312837
0.0104961 -0.00776051 -0.31204
0.0102991 -0.00787074 -0.311271
0.0101032 -0.00796081 -0.31057
0.00992862 -0.00805182 -0.309917
0.00982186 -0.00813796 -0.309313
0.00979569 -0.00822752 -0.308737
0.00987703 -0.00833091 -0.308226
0.0100823 -0.00843675 -0.30778
0.0104028 -0.00857838 -0.307411
0.0107998 -0.00877741 -0.307094
0.0112351 -0.00903143 -0.306836
0.0117013 -0.00932688 -0.30662
0.0121685 -0.00966488 -0.306468
0.012586 -0.0100188 -0.306396
0.0129589 -0.0104009 -0.306367
0.0132863 -0.0108237 -0.306363
0.0135676 -0.0112935 -0.306393
0.0138008 -0.011786 -0.306441
0.014002 -0.0122877 -0.306481
0.0141787 -0.0128057 -0.30651
0.014333 -0.013334 -0.30652
0.0144688 -0.0138442 -0.306507
0.014538 -0.0143257 -0.306484
0.0145333 -0.0147555 -0.306473
0.0144313 -0.0151454 -0.30647
0.0142304 -0.0154961 -0.306463
0.0139319 -0.0157925 -0.306465
0.0135467 -0.0160251 -0.306457
0.0131175 -0.0162236 -0.306433
0.0126636 -0.0164023 -0.306387
0.0121858 -0.0165684 -0.306334
0.0117199 -0.0167275 -0.306268
0.0112782 -0.0168815 -0.306215
0.0108646 -0.017026 -0.306181
0.0104585 -0.017158 -0.30617
0.0100745 -0.017291 -0.306187
0.00969037 -0.0174206 -0.306204
0.00934217 -0.0175273 -0.306223
0.00904999 -0.0175948 -0.306261
0.00876811 -0.0176069 -0.306313
0.00851549 -0.0175577 -0.306367
0.0083091 -0.0174709 -0.306431
0.0081408 -0.0173859 -0.306497
0.00799446 -0.0173416 -0.30659
0.00786746 -0.0173432 -0.306702
0.00775869 -0.0174086 -0.306839
0.00763552 -0.0175381 -0.30698
0.00749567 -0.0176976 -0.30713
0.0073308 -0.0178609 -0.307271
0.00712102 -0.017983 -0.307433
0.00686388 -0.0180723 -0.307596
0.00655927 -0.0181468 -0.307786
0.00622253 -0.0182175 -0.307984
0.00586763 -0.0183139 -0.308179
0.0055115 -0.0184623 -0.308365
0.00518727 -0.0186436 -0.308544
0.00490638 -0.0188711 -0.3087
0.00464693 -0.0190998 -0.308835
0.00440002 -0.0193023 -0.30895
0.00417045 -0.0194453 -0.309063
0.00391796 -0.0194915 -0.309172
0.00363035 -0.0194664 -0.309285
0.00328738 -0.0194224 -0.309409
0.00289649 -0.0194141 -0.309548
0.00246816 -0.0194612 -0.3097
0.00200535 -0.0195457 -0.309876
0.00153313 -0.0196423 -0.31008
0.00105532 -0.0197018 -0.310306
0.000595712 -0.0196696 -0.310533
0.000150573 -0.0195385 -0.310774
-0.000246152 -0.0193574 -0.310982
-0.000600601 -0.0191746 -0.311147
-0.000930381 -0.0190298 -0.311309
-0.00125293 -0.0189222 -0.311475
-0.00159932 -0.0188185 -0.31166
-0.00197458 -0.01869 -0.311885
-0.00242629 -0.0185334 -0.312161
-0.00294995 -0.0183646 -0.312495
-0.00352529 -0.0181828 -0.312868
-0.00410936 -0.0179716 -0.313277
-0.0046701 -0.0177365 -0.31371
-0.00516024 -0.0174804 -0.314161
-0.00556942 -0.0172132 -0.314625
-0.00591374 -0.0169869 -0.315096
-0.00619897 -0.0168488 -0.315557
-0.00645558 -0.016835 -0.316019
-0.00672184 -0.0169076 -0.316485
-0.00703093 -0.0170238 -0.316951
-0.00740224 -0.0171815 -0.317403
-0.0078188 -0.0174041 -0.317853
-0.00829728 -0.0176952 -0.318282
-0.00877847 -0.0180289 -0.318688
-0.009248 -0.0183734 -0.319071
-0.00967519 -0.0187138 -0.319412
-0.0100778 -0.0190382 -0.319707
-0.010465 -0.0193646 -0.319955
-0.0108521 -0.0197044 -0.320177
-0.0112644 -0.0200935 -0.320398
-0.0116777 -0.0205185 -0.320631
-0.0120997 -0.0209331 -0.320822
-0.0121196 -0.0208013 -0.320943
-0.0119743 -0.0203546 -0.320985
-0.0115723 -0.019507 -0.320929
-0.0108898 -0.0182625 -0.320811
-0.00991655 -0.0166375 -0.320653
-0.00867108 -0.0146671 -0.320486
-0.00720831 -0.012422 -0.320359
-0.00562405 -0.0100028 -0.320276
-0.00401505 -0.00745628 -0.320222
-0.00242399 -0.00489178 -0.320194
-0.000917097 -0.0023389 -0.320175
0.000453081 0.00019863 -0.320133
0.00149832 0.00243282 -0.32002
0.00233117 0.00449956 -0.319846
0.00295471 0.00635298 -0.319613
0.00339666 0.00795969 -0.31932
0.00366284 0.00928411 -0.318965
0.00379849 0.0103348 -0.318543
0.00384184 0.0110881 -0.318049
0.00408391 0.0119877 -0.317488
0.00422797 0.0125391 -0.316839
0.0042508 0.0128168 -0.316098
0.00413968 0.0129529 -0.315303
