%roll pitch yaw
-0.00417163 -0.0082339 -0.017263
-0.00416105 -0.00822752 -0.0172573
-0.0041597 -0.00822842 -0.0172572
-0.00415472 -0.00823368 -0.0172583
-0.00415853 -0.00822905 -0.0172553
-0.00416006 -0.0082293 -0.0172611
-0.00415879 -0.00823264 -0.0172572
-0.00416254 -0.0082336 -0.0172586
-0.00415677 -0.00822847 -0.0172691
-0.00415603 -0.00822859 -0.017259
-0.00415467 -0.00822568 -0.0172659
-0.0041599 -0.00821007 -0.0172725
-0.00416315 -0.00819802 -0.01726
-0.00415601 -0.00819043 -0.0172382
-0.00415289 -0.00818511 -0.0172229
-0.00414792 -0.0081779 -0.0172228
-0.00414052 -0.00817731 -0.0172394
-0.00413215 -0.0081661 -0.0172619
-0.00413681 -0.00816568 -0.0172723
-0.00414005 -0.00816966 -0.0172786
-0.00414101 -0.00817274 -0.0172889
-0.00415189 -0.00816818 -0.0172947
-0.0041515 -0.00816598 -0.0172934
-0.00415714 -0.00815557 -0.0172913
-0.0041573 -0.00813869 -0.0172932
-0.00416441 -0.00814104 -0.0172949
-0.00416127 -0.00813367 -0.0172917
-0.00416273 -0.00811996 -0.017292
-0.00416166 -0.00811273 -0.0172879
-0.0041602 -0.00811568 -0.0172855
-0.00416274 -0.00811028 -0.0172921
-0.00416352 -0.00809996 -0.0172896
-0.0041589 -0.00808984 -0.0173033
-0.00415405 -0.00806953 -0.0173009
-0.00415463 -0.00805139 -0.0172946
-0.00416239 -0.00803536 -0.0172819
-0.00416637 -0.00802626 -0.0172732
-0.00416815 -0.00802782 -0.0172726
-0.00418073 -0.00802977 -0.0172804
-0.00419231 -0.00802419 -0.0172673
-0.00419884 -0.00801575 -0.0172563
-0.00420349 -0.00799897 -0.0172475
-0.00420303 -0.00798612 -0.0172662
-0.00419398 -0.00797985 -0.0172772
-0.0041832 -0.00795602 -0.0172933
-0.00417615 -0.00793208 -0.0173007
-0.00416906 -0.00791549 -0.0173
-0.00417575 -0.00790045 -0.0172939
-0.00418507 -0.00789232 -0.017292
-0.00419084 -0.00788367 -0.0173041
-0.00418699 -0.00788121 -0.0173012
-0.00419102 -0.00787706 -0.0172936
-0.0041946 -0.00786507 -0.0172775
-0.00420494 -0.00786244 -0.0172629
-0.0042137 -0.00785157 -0.0172601
-0.00421184 -0.00783926 -0.0172718
-0.00421704 -0.00783224 -0.0172851
-0.00423045 -0.00783033 -0.0172873
-0.00424696 -0.00782721 -0.0172915
-0.00426288 -0.00780971 -0.0172993
-0.00427185 -0.0077984 -0.0172978
-0.00427474 -0.00779147 -0.0173002
-0.00427486 -0.00778067 -0.0173069
-0.00427692 -0.0077628 -0.0173153
-0.00427722 -0.00775128 -0.0173285
-0.00428046 -0.00773643 -0.0173366
-0.00428561 -0.00772798 -0.0173346
-0.00429365 -0.00771606 -0.0173471
-0.00430153 -0.00771343 -0.01735
-0.00430689 -0.00770608 -0.0173464
-0.0043024 -0.00769976 -0.01734
-0.00429235 -0.00770116 -0.0173274
-0.00428044 -0.00770042 -0.0173096
-0.00428168 -0.00770056 -0.0173134
-0.00429006 -0.00768776 -0.0172998
-0.0042989 -0.00767232 -0.0172997
-0.00429925 -0.00766154 -0.0173072
-0.00429881 -0.00764491 -0.017319
-0.00430162 -0.00763344 -0.0173276
-0.00429781 -0.00762003 -0.017335
-0.00430443 -0.00761159 -0.017342
-0.00430563 -0.00759835 -0.0173439
-0.00430651 -0.00757549 -0.0173384
-0.00430605 -0.00756858 -0.0173301
-0.00431126 -0.00755542 -0.0173217
-0.00431171 -0.00754621 -0.0173092
-0.00431355 -0.0075499 -0.017291
-0.00430733 -0.00754683 -0.0172904
-0.00430375 -0.0075348 -0.0172933
-0.00430483 -0.00752625 -0.0173093
-0.00430855 -0.00751578 -0.0173299
-0.00431638 -0.00750637 -0.0173397
-0.00431821 -0.00750152 -0.0173321
-0.00431819 -0.00749076 -0.0173139
-0.00432818 -0.0074805 -0.0173011
-0.00432492 -0.00746686 -0.0173086
-0.0043216 -0.00745518 -0.0173231
-0.0043227 -0.00743938 -0.017336
-0.00431885 -0.00743346 -0.0173508
-0.00431962 -0.00742314 -0.0173564
-0.00432501 -0.00741383 -0.0173369
-0.00433079 -0.00740947 -0.0173175
-0.00432564 -0.0073912 -0.0173142
-0.0043194 -0.00737746 -0.0173025
-0.00432271 -0.00736177 -0.0173168
-0.00432788 -0.00734141 -0.017312
-0.00432298 -0.00733671 -0.0173117
-0.00433082 -0.00733314 -0.0173066
-0.00433339 -0.00734098 -0.0173053
-0.00432577 -0.00734428 -0.017287
-0.00431277 -0.00733792 -0.0172724
-0.00430488 -0.00734506 -0.0172808
